"beer_name","beer_style"
"Devanha Scottish XXX Ale","Scottish Ale"
"Skyelight","English Pale Ale"
"Tigh Dearg Ale","Scottish Ale"
"Tarasgeir","Smoked Beer"
"Red Cuillin","English Pale Ale"
"Blaven","Scottish Ale"
"Hebridean Gold Porridge Oat Ale","English Bitter"
"American Pale Ale","American Pale Ale (APA)"
"Walker's Ale","American Amber / Red Ale"
"Black Cuillin","Scottish Ale"
"Dark Star Porter","English Porter"
"Amalgamated Märzen","Märzen / Oktoberfest"
"Altbier","Altbier"
"Bourbon Barrel Stout (Clay Street Series)","American Stout"
"Rye IPA 75","American IPA"
"Copper Ale","American Amber / Red Ale"
"Mephistopheles' Metamorphosis","Tripel"
"Professor Gesser's Mind Numbing Ale","American Double / Imperial IPA"
"Oatmeal Stout","Oatmeal Stout"
"Nut Brown Ale","American Brown Ale"
"Scotch Ale","Scottish Ale"
"Steamboat Stout","American Stout"
"Ring Of Fire","Scotch Ale / Wee Heavy"
"Battery Hill Bitter","English Bitter"
"Dubbelicious","Dubbel"
"Belgian Red With Brettanomyces Yeast","Flanders Red Ale"
"Brewer's Reserve Series: Dunkelweiss","Dunkelweizen"
"Herkulean IPA","American IPA"
"Roggenbier","Roggenbier"
"Founders Red's Rye PA","Rye Beer"
"Swannanoa Sunset","Keller Bier / Zwickel Bier"
"Toubab Brewe","Keller Bier / Zwickel Bier"
"Solshine","Belgian Pale Ale"
"Test Batch#1: An Amercian Pale Ale","American Pale Ale (APA)"
"Antebellum Ale","American Pale Ale (APA)"
"Burning Barrel","American Porter"
"Meet Your Maker","English Strong Ale"
"Brouemont Russian Imperial Stout","Russian Imperial Stout"
"PBJ","Belgian Dark Ale"
"Falconer's Rye","Roggenbier"
"White Squirrel","American Blonde Ale"
"Germinator Doppelbock","Doppelbock"
"Neder Festbier","Märzen / Oktoberfest"
"Neder Faßbier","Dortmunder / Export Lager"
"Schwarze Anna","Schwarzbier"
"Erstes Forchheimer Braunbier","Munich Dunkel Lager"
"Gulden Fraug Belgian Style Ale","Belgian Strong Pale Ale"
"Neder Keller Bier","Keller Bier / Zwickel Bier"
"St. Anna Festbier","Märzen / Oktoberfest"
"Old Orange Old Dummy","American Strong Ale"
"Old Orange Cannonball","American IPA"
"Old Orange Street Fair","Kölsch"
"Brew Eyed Lager","Euro Pale Lager"
"Brew Eyed Blond","English Pale Ale"
"Old Skool","English Bitter"
"Toffee Porter","English Porter"
"Amalgamated Dunkel","Dunkelweizen"
"Amalgamated IPA","English India Pale Ale (IPA)"
"Amalgamated Helles","Maibock / Helles Bock"
"Amalgamated Zoigl","American Pale Lager"
"Amalgamated Rauchbier","Rauchbier"
"Deceiver","American Black Ale"
"Ramble On Red","American Amber / Red Ale"
"NoDa Rye Z'd","American Double / Imperial IPA"
"10 Blocks South","American Pale Ale (APA)"
"Coco Loco","American Porter"
"Hop, Drop ‘n Roll","American IPA"
"Santa Baby","Winter Warmer"
"Naughty List","Winter Warmer"
"Bierre De Garde","Bière de Garde"
"Bluffdiver IPA","American IPA"
"Washougal Wheat","American Pale Wheat Ale"
"Terminator Stout","American Stout"
"Triple Chocolate Stout","American Stout"
"Sushi Roku Red Sun","Japanese Rice Lager"
"Snaggletooth Stout","American Stout"
"Irish Stout","Irish Dry Stout"
"Brown Ale","American Brown Ale"
"Mariposa Golden Amber","American Amber / Red Ale"
"High Country Hefeweizen","Hefeweizen"
"Pick Axe IPA","American IPA"
"SueBee Honey Ale","American Pale Ale (APA)"
"Blonde Ambition","American Blonde Ale"
"Pot Kettle Black","American Black Ale"
"Splashing Pumpkin","Pumpkin Ale"
"Hoppocratic Oath","American Double / Imperial IPA"
"Massive IPA","American IPA"
"Conscious Sedaison","Saison / Farmhouse Ale"
"Sleigh Ryed","Rye Beer"
"Marauder (Born From Wood Series)","Scotch Ale / Wee Heavy"
"Robert Moses Pale Ale","American Pale Ale (APA)"
"Motueka Monster","American Pale Ale (APA)"
"Rex Attitude","Smoked Beer"
"Her Majesty 2010","Dubbel"
"Nerdherder D","American Pale Ale (APA)"
"Hud-a-wa' Strong","American Amber / Red Ale"
"Return To Magenta","Belgian Pale Ale"
"Red Rackham","American Amber / Red Ale"
"Viven Blond","Belgian Pale Ale"
"Her Majesty 2011","Saison / Farmhouse Ale"
"Digital IPA","American IPA"
"Yakima Monster","American Pale Ale (APA)"
"Honey Brown Lager","American Amber / Red Lager"
"Black & Tan","Black & Tan"
"Special Reserve Ale","American Pale Ale (APA)"
"Arnstädter UrBock","Maibock / Helles Bock"
"Orgemont Brune","Belgian Dark Ale"
"Orgemont Bière Des Moissons","Belgian Dark Ale"
"Orgemont Triple","Tripel"
"Orgemont Bière Rèmes Speciale Au Marc De Champagne","Belgian Pale Ale"
"Orgemont Blonde","Belgian Pale Ale"
"White Buffalo Peace Ale","American Pale Ale (APA)"
"Red Lady Ale","Irish Red Ale"
"Rodeo Stout","Oatmeal Stout"
"White Rapids Ale","American Pale Ale (APA)"
"Unas Mas! (Simcoe Hops)","English Pale Ale"
"Flying Aces Pale Ale","American Pale Ale (APA)"
"Black Night Black Lager","Schwarzbier"
"Dunkel Weizen","Dunkelweizen"
"Golden Hawk Wheat","American Pale Wheat Ale"
"Turbo Shandy","Fruit / Vegetable Beer"
"Helles Honey Bock","Maibock / Helles Bock"
"Red Rocket Amber Ale","American Amber / Red Ale"
"B.O.R.I.S. The Crusher Oatmeal-Imperial Stout","Russian Imperial Stout"
"Hopturnal Emissions","American Double / Imperial IPA"
"Bees Knees Honey Ale","American Blonde Ale"
"River Raiders Ale","American Pale Ale (APA)"
"Quaker Oatmeal Stout","Oatmeal Stout"
"Tenebra","American Stout"
"Tilted Kilt","Scottish Ale"
"Black Cobra Stout","American Stout"
"Holidays R Over Spiced Ale","Herbed / Spiced Beer"
"Meta Export Lager","American Adjunct Lager"
"Frog's Hollow Double Pumpkin Ale","Pumpkin Ale"
"Flying Aces Ale","Extra Special / Strong Bitter (ESB)"
"Brown Nose Ale","English Brown Ale"
"Pike Double IPA","American Double / Imperial IPA"
"Cascadian Dark Ale","American Black Ale"
"Saison Du Sept Mers","Saison / Farmhouse Ale"
"Barrel Aged Port Royal Stout W/ Vanilla Beans","Foreign / Export Stout"
"Wheelchair","American Barleywine"
"Santa's Smokin' Winter Warmer","Winter Warmer"
"Hop Prophet","American IPA"
"Rude Parrot","American IPA"
"British Pale Ale","English Pale Ale"
"Cutt's Ale","American Amber / Red Ale"
"Port Royal Stout","American Stout"
"Smoked Porter","American Porter"
"Alt","Altbier"
"Weizen","Hefeweizen"
"Asmara Lager Beer","American Adjunct Lager"
"'Pooya Porter","American Porter"
"Ol' Lickspigot Barleywine","American Barleywine"
"SantiAmber Ale","American Amber / Red Ale"
"Hop Crisis Extra Pale Ale","American Pale Ale (APA)"
"Yankee Clipper IPA","American IPA"
"Flood Stage Red","American Amber / Red Ale"
"Simcoe Springs IPA","American IPA"
"White Water Wheat","American Pale Wheat Ale"
"Fresh Hop Rye","Rye Beer"
"Hop Rye Pale","Rye Beer"
"Big Aft Pale Ale","American Pale Ale (APA)"
"BourbonDog ESB","Extra Special / Strong Bitter (ESB)"
"Undertow","Russian Imperial Stout"
"Riparian IPA","American IPA"
"Riverdog ESB","Extra Special / Strong Bitter (ESB)"
"Calapooia Barleywine","American Barleywine"
"Somethin' Lite","American Blonde Ale"
"Devil's Hole Stout","American Stout"
"La Binchoise Spéciale Noël (Reserve Special - USA)","Belgian Strong Pale Ale"
"Chili Beer","Chile Beer"
"Rising River Rye","Rye Beer"
"Zhigulovskoye","Euro Pale Lager"
"Froegaarden","Witbier"
"Parislytic","Extra Special / Strong Bitter (ESB)"
"Dark De Triomphe","English Stout"
"Dark Bock","Bock"
"Dark Wheat","American Amber / Red Lager"
"Bernard Celebration Lager","Czech Pilsener"
"Bernard Svetly Lezak","Czech Pilsener"
"OX","Czech Pilsener"
"Bernard Light 10° - Bernard Sv&#283;tlé Pivo 10°","Czech Pilsener"
"Bernard Semi-dark Lager (polotmavy Lezak)","Euro Dark Lager"
"Bernard Dark","Schwarzbier"
"Pra","Euro Strong Lager"
